NEWER_VERSION_ON_COMMIT_DATE;PREVIOUS_VERSION;Count of HASH
7.0.0.Final;7.0.0.Final;296
1.0.3.Final;1.0.3.Final;295
1.8.3;1.9.2-SNAPSHOT;295
3.1.0;3.1.0-SNAPSHOT;295
1.0.0.Alpha8;1.0.0.Alpha7;294
3.3.0.Final;3.2.1.Final;294
7.0.0.CR1;7.1.0.Alpha1-SNAPSHOT;294
1.9.5;2.0-SNAPSHOT;293
1.0.3-hadoop1;1.1-SNAPSHOT;292
2.0.1;9.0.4;292
7.0.0.CR1;7.0.0.CR2-SNAPSHOT;291
1.9.4;2.0.0-M06;290
2.0.0.Beta1;2.0.0.Beta1;290
2.3.0;2.3.2-SNAPSHOT;288
2.3.8;3.2.0-SNAPSHOT;288
2.4.7.Final;2.4.7.Final;288
1.0.0.Alpha3;1.0.0.Alpha2;287
2.2.1;2.2.2-SNAPSHOT;287
3.2.0-alpha02;3.1.1-SNAPSHOT;287
2.0.3.Final;2.0.3.Final;286
1.5.1;1.5.1;285
2.1.8;2.3-SNAPSHOT;285
3.2.0-alpha01;3.1.1-SNAPSHOT;285
0.8.1;0.9-SNAPSHOT;284
1.5.M02;1.6-SNAPSHOT;284
10.0.0.CR5;10.0.0.Final-SNAPSHOT;284
3.1.0-RC1;3.1.1-SNAPSHOT;284
2.0.0-M03;1.9.1-SNAPSHOT;283
2.1.7;1.2_15-jbossorg-2;283
2.0.3;2.1-SNAPSHOT;282
2.2.2;2.2.3-SNAPSHOT;282
3.1.0;${servlet3.version};281
0.16;0.15;280
2.3.7;2.3.7-SNAPSHOT;280
1.2.0.RELEASE;1.2.0.RELEASE;279
2.1.0;2.1.0;279
3.1.2;3.1.2;279
2.0.0;2.0-SNAPSHOT;278
2.0.0-M01;2.0-SNAPSHOT;278
2.0.0-M03;2.0-SNAPSHOT;278
2.3.2;3.0.0-SNAPSHOT;278
2.3.7;3.0.5-SNAPSHOT;278
1.8.M05;1.8-SNAPSHOT;277
2.0.0;2.0.0;277
2.3.0;2.3-SNAPSHOT;277
2.3.7;2-3-8-SNAPSHOT;276
1.0.0.Alpha13;1.0.0.Alpha12;275
0.12.0;0.12.1-SNAPSHOT;274
10.0.0.CR1;10.0.0.CR2-SNAPSHOT;273
10.0.0.CR2;10.0.0.CR2;273
10.0.0.CR3;10.0.0.CR4-SNAPSHOT;273
10.0.0.CR4;10.0.0.CR4-SNAPSHOT;273
10.0.0.CR5;10.0.0.CR5;273
2.1.0.CR2;2.1.0.CR2;273
2.7;2.7;273
10.0.0.CR1;10.0.0.CR1;272
2.21.1;2.22-SNAPSHOT;272
2.22;2.23-SNAPSHOT;272
4.0.0-BETA2;3.0.3;272
10.0.0.CR1;10.0.0.CR1-SNAPSHOT;271
2.17;2.18-SNAPSHOT;270
1.17;1.16;269
